gene_id	gene_short_name	54h_WT_rep1	54h_WT_rep2	54h_WT_rep3	66h_WT_rep1	66h_WT_rep2	66h_WT_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000184	Ccnd2	90.8823524486241	88.0467439979137	94.3919958844323	1979.92999542704	1646.36124842298	1961.30760202482	976.819989700968	4.35293520316604	0.125926561183057	34.5672522323409	7.84830549646023e-262	1.17795217196372e-257
ENSMUSG00000081683	Fzd10	383.931570548269	360.404672098127	335.144614600906	2033.91864763585	1852.40768061267	2076.15161028292	1173.65979929646	2.46422591757651	0.0888555266022913	27.7329504624528	2.79799038433393e-169	2.0997518839234e-165
ENSMUSG00000032232	Cgnl1	3580.57921228712	3141.50782584556	3019.48328407841	691.470045597486	583.965741961997	592.953461077271	1934.99326180797	-2.38455282532295	0.0865927602617303	-27.537554157132	6.23768817919468e-167	3.1207153960511e-163
ENSMUSG00000018924	Alox15	97.3739490520973	102.13422303758	107.119006565479	1347.6398185969	1057.36998372465	1161.47202678048	645.518167959531	3.54129262849736	0.132722985678972	26.6818336732039	7.64889708196128e-157	2.87005740757892e-153
ENSMUSG00000020902	Ntn1	151.161463766589	149.092486503134	156.966465066247	959.336820018134	1017.16580183398	1094.68331275804	588.06772499102	2.74865089952881	0.114935595293337	23.9147053835998	2.15357462015309e-126	6.46460029477556e-123
ENSMUSG00000102918	Pcdhgc3	129.831932069463	140.874790396662	139.997117491518	948.954386901055	1258.390893178	1327.62931532411	657.613072560135	3.10891326465155	0.137031333934295	22.6876085592383	5.93796127385074e-114	1.48538101265376e-110
ENSMUSG00000020598	Nrcam	293.976589042998	332.229714018794	355.295714845897	1298.84238294663	1523.73849365643	1518.2214992418	887.050732292093	2.14820540242139	0.102357375759039	20.9873043978629	8.56684516999555e-98	1.83685398794948e-94
ENSMUSG00000002006	Pdzd4	6116.93874235841	6257.18860678507	5916.99938246346	2814.67761804022	2605.23098651548	2664.21809228538	4395.875571408	-1.17816144337341	0.0564960194468636	-20.8538841303946	1.40538221193798e-96	2.63667270237215e-93
ENSMUSG00000070436	Serpinh1	1245.45917692349	1089.43171240085	1143.30979284739	3328.60805733565	3153.01296477587	3105.67520204346	2177.58281772112	1.46066353783819	0.0701725455629149	20.8153135406581	3.14481451320898e-96	5.24450233652818e-93
ENSMUSG00000019982	Myb	1163.8505339084	1310.13555068896	1379.82007467018	323.931913252876	330.679396050769	329.056591037387	806.245676601429	-1.96887644357997	0.0974618007891601	-20.2015192376679	9.49313593641587e-91	1.42482477269666e-87
ENSMUSG00000051851	Rtl8c	115.921367919163	96.2644401043857	98.6343327781147	695.623018844318	646.282223892537	703.724986773025	392.741728385257	2.71243107985711	0.135141561074806	20.071035573991	1.32220730707951e-89	1.80409177017786e-86
ENSMUSG00000067878	Map7d3	1527.3799437029	1424.00933959292	1370.2748166594	449.559353969537	416.113282568445	381.998864347857	928.222600140177	-1.79608875580138	0.0917188364237739	-19.5825506061024	2.17834976089427e-85	2.72457096343851e-82
ENSMUSG00000023067	Cdkn1a	2203.43336140746	1678.75791889355	1836.93187496446	6318.74879505451	5623.55994195761	5907.54320493606	3928.16251620227	1.64035920607342	0.0842103996155549	19.4792948799927	1.64529804045507e-84	1.89955986839925e-81
ENSMUSG00000030934	Oat	2282.25989159249	2242.2570804802	2166.77356844826	5024.05938535471	4680.77187662137	4938.29235509821	3555.73569293254	1.12970742347463	0.0582067444315833	19.4085313395684	6.53689346388915e-84	7.00801671425088e-81
ENSMUSG00000090125	Pou3f1	1864.9429670835	1296.04807164929	1368.15364821256	299.014073771886	280.42416868743	273.67082818951	897.042292932363	-2.4111496447667	0.125342181954561	-19.2365379887897	1.83032495991222e-82	1.83142315488817e-79
ENSMUSG00000059246	Foxb1	259.663864138926	272.357928100213	294.842414110923	1012.28722891524	1220.19692038187	1271.42905596376	721.796235268489	2.08554898076022	0.111541793312733	18.6974668312254	5.19130244921464e-78	4.86976615376641e-75
ENSMUSG00000024817	Uhrf2	668.634450157735	705.547908569949	712.712598138635	1782.66376620253	1907.68843071234	1870.08399262832	1274.55519106825	1.41508384411605	0.0757546899705945	18.6798183012212	7.22647020478597e-78	6.38012301786074e-75
ENSMUSG00000062327	T	172.490995463715	129.135224530273	139.997117491518	7295.73575137168	13786.0139703111	14858.0453804555	6063.56973993729	6.34529169777813	0.343392870995202	18.478227807667	3.09170743130742e-76	2.5779687131385e-73
ENSMUSG00000022246	Rai14	1612.6980704914	1618.88613297497	1742.53987908003	4510.12894605928	6180.3878611434	6041.12063298093	3617.626920455	1.75041293952237	0.0951486817132825	18.3966073728378	1.39851321139463e-75	1.10475183104326e-72
ENSMUSG00000055799	Tcf7l1	2110.69626707213	2175.34155504179	2336.46704419555	586.607471114985	765.889665017283	715.942434460057	1448.49073948363	-1.67734622511695	0.091299033415974	-18.3720041971821	2.20130958957985e-75	1.6519727815002e-72
ENSMUSG00000032946	Rasgrp2	748.388351286119	780.681130114835	790.135246448338	172.348389743518	183.93413214982	194.664666480038	478.358652703778	-2.06992476945593	0.112797042843253	-18.3508779776467	3.24821019569515e-75	2.32154222986612e-72
ENSMUSG00000027478	Dnmt3b	47716.9445193011	54370.6253535917	54065.4019573113	15947.4172678339	20366.4334412667	20012.9938078704	35413.3027245292	-1.47093656406657	0.0802412058897214	-18.3314364204364	4.64475477970505e-75	3.16877838584514e-72
ENSMUSG00000037016	Frem2	1540.36313690984	1650.58296081422	1717.08585771793	3758.44078838273	4047.5560118433	4404.79713943116	2853.1376491832	1.31618908541371	0.0728056548467726	18.0781161598473	4.74001164523293e-73	3.09316672970874e-70
ENSMUSG00000092035	Peg10	1129.53780900433	1047.16927528185	1115.73460303846	3128.22709817602	2641.41475021709	2846.66531107838	1984.79147446602	1.38684698992175	0.0767855461744528	18.061302667183	6.42874528408767e-73	4.02037658203633e-70
